Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,1/6/2017 0:00,2017,1,6,0,215,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 1:00,2017,1,6,1,224,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 2:00,2017,1,6,2,226,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 3:00,2017,1,6,3,217,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 4:00,2017,1,6,4,240,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 5:00,2017,1,6,5,244,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 6:00,2017,1,6,6,230,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 7:00,2017,1,6,7,232,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 8:00,2017,1,6,8,237,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 9:00,2017,1,6,9,243,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 10:00,2017,1,6,10,242,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 11:00,2017,1,6,11,249,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 12:00,2017,1,6,12,247,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 13:00,2017,1,6,13,272,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 14:00,2017,1,6,14,279,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 15:00,2017,1,6,15,276,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 16:00,2017,1,6,16,231,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 17:00,2017,1,6,17,177,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 18:00,2017,1,6,18,154,µg/m³,1 Hr,Valid
