Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,1/7/2015 6:00,2015,1,7,6,65,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 7:00,2015,1,7,7,75,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 8:00,2015,1,7,8,84,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 9:00,2015,1,7,9,83,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 10:00,2015,1,7,10,71,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 11:00,2015,1,7,11,67,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 12:00,2015,1,7,12,47,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 13:00,2015,1,7,13,60,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 14:00,2015,1,7,14,60,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 15:00,2015,1,7,15,74,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 16:00,2015,1,7,16,67,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 17:00,2015,1,7,17,64,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 18:00,2015,1,7,18,73,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 19:00,2015,1,7,19,80,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 20:00,2015,1,7,20,77,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 21:00,2015,1,7,21,71,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 22:00,2015,1,7,22,85,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 23:00,2015,1,7,23,80,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 0:00,2015,1,8,0,87,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 1:00,2015,1,8,1,78,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 2:00,2015,1,8,2,106,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 3:00,2015,1,8,3,113,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 4:00,2015,1,8,4,129,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 5:00,2015,1,8,5,105,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 6:00,2015,1,8,6,98,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 7:00,2015,1,8,7,88,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 8:00,2015,1,8,8,83,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 9:00,2015,1,8,9,75,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 10:00,2015,1,8,10,80,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 11:00,2015,1,8,11,85,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 12:00,2015,1,8,12,93,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 13:00,2015,1,8,13,84,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 14:00,2015,1,8,14,61,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 15:00,2015,1,8,15,68,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 16:00,2015,1,8,16,71,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 17:00,2015,1,8,17,75,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 18:00,2015,1,8,18,111,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 19:00,2015,1,8,19,134,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 20:00,2015,1,8,20,120,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 21:00,2015,1,8,21,111,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 22:00,2015,1,8,22,107,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2015 23:00,2015,1,8,23,106,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 0:00,2015,1,9,0,101,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 1:00,2015,1,9,1,109,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 2:00,2015,1,9,2,110,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 3:00,2015,1,9,3,110,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 4:00,2015,1,9,4,114,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 5:00,2015,1,9,5,101,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 6:00,2015,1,9,6,111,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 7:00,2015,1,9,7,117,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 8:00,2015,1,9,8,120,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 9:00,2015,1,9,9,112,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 10:00,2015,1,9,10,122,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 11:00,2015,1,9,11,127,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 12:00,2015,1,9,12,115,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 13:00,2015,1,9,13,115,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 14:00,2015,1,9,14,104,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 15:00,2015,1,9,15,64,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 16:00,2015,1,9,16,85,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 17:00,2015,1,9,17,102,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 18:00,2015,1,9,18,104,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 19:00,2015,1,9,19,108,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 20:00,2015,1,9,20,101,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 21:00,2015,1,9,21,99,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 22:00,2015,1,9,22,104,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2015 23:00,2015,1,9,23,105,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 0:00,2015,1,10,0,77,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 1:00,2015,1,10,1,79,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 2:00,2015,1,10,2,88,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 3:00,2015,1,10,3,94,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 4:00,2015,1,10,4,95,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 5:00,2015,1,10,5,91,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 6:00,2015,1,10,6,94,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 7:00,2015,1,10,7,93,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 8:00,2015,1,10,8,90,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 9:00,2015,1,10,9,86,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 10:00,2015,1,10,10,90,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 11:00,2015,1,10,11,102,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 12:00,2015,1,10,12,99,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 13:00,2015,1,10,13,98,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 14:00,2015,1,10,14,101,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 15:00,2015,1,10,15,97,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 16:00,2015,1,10,16,111,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 17:00,2015,1,10,17,112,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 18:00,2015,1,10,18,115,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 19:00,2015,1,10,19,110,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 20:00,2015,1,10,20,103,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 21:00,2015,1,10,21,110,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 22:00,2015,1,10,22,105,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2015 23:00,2015,1,10,23,109,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 0:00,2015,1,11,0,130,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 1:00,2015,1,11,1,161,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 2:00,2015,1,11,2,176,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 3:00,2015,1,11,3,181,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 4:00,2015,1,11,4,181,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 5:00,2015,1,11,5,167,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 6:00,2015,1,11,6,155,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 7:00,2015,1,11,7,150,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 8:00,2015,1,11,8,146,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 9:00,2015,1,11,9,145,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 10:00,2015,1,11,10,151,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 11:00,2015,1,11,11,143,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 12:00,2015,1,11,12,148,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 13:00,2015,1,11,13,132,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 14:00,2015,1,11,14,123,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 15:00,2015,1,11,15,142,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 16:00,2015,1,11,16,135,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 17:00,2015,1,11,17,147,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 18:00,2015,1,11,18,142,µg/m³,1 Hr,Valid
